Location;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;prelim 2023;change;change.1;Growth PA
ST ALBANS PARK;307500;335000;330000;329000;331000;379000;450000;422000;455000;600000;651000;587500.0;9.0;112.0;7.8
ST ANDREWS BEACH;714000;480000;495000;560000;695000;855000;902500;930000;1207500;1745500;1582500;1550000.0;-9.0;122.0;8.3
ST ARN/AUD;123000;140000;145000;141000;142500;145000;145000;175000;170000;225000;310000;272500.0;38.0;152.0;9.7
ST HELEN/A;550500;612500;623000;711000;800000;893500;910000;905000;930000;1137500;1202500;1134000.0;6.0;118.0;8.1
ST KILDA;861000;892000;1225000;1164000;1305000;1551000;1755000;1600000;1330000;1680000;1635000;1116500.0;-3.0;90.0;6.6
ST KILDA EAST;993000;1050500;1037500;1382500;1677500;1460000;1620000;1560500;1650000;1840000;1770000;1314000.0;-4.0;78.0;6.0
ST KILDA WEST;1262500;1142500;2235000;2013000;1797000;2380000;1942500;2465000;2630000;3300000;2505000;4000000.0;-24.0;98.0;7.1
ST LEON/ARDS;363000;350000;357000;375000;421500;469000;571500;562500;572000;705000;805000;765000.0;14.0;122.0;8.3
STANHOPE;175000;150000;131000;152500;147000;181000;161500;187500;201500;255000;217000;397000.0;-15.0;24.0;2.2
STAWELL;167000;162500;172500;177000;177000;188000;190000;189000;227000;290000;352500;325000.0;22.0;111.0;7.8
STRATFORD;267500;230000;261500;260500;272500;265000;258000;316500;320000;397500;472000;504000.0;19.0;77.0;5.9
STRATHDALE;361000;392500;380000;410500;445000;380000;420000;451000;507000;640000;671500;765000.0;5.0;86.0;6.4
STRATHFIELDSAYE;359000;377000;397500;408000;425000;455000;444000;476500;535000;636000;705000;685000.0;11.0;96.0;7.0
STRATHMERTON;164500;166000;172500;190000;182500;140000;187500;195000;205000;265000;325000;320000.0;23.0;98.0;7.0
STRATHMORE;800000;827500;865000;997500;1140000;1230000;1357500;1310000;1360000;1591000;1605000;1200000.0;1.0;101.0;7.2
STRATHMORE HEIGHTS;605000;621000;640000;700000;808000;970000;885000;800000;835000;962500;952500;1102500.0;-1.0;57.0;4.6
STRATHTULLOH;191000;350000;440000;425000;430000;359000;425000;507500;522500;585500;629500;593000.0;8.0;230.0;12.7
STUDFIELD;480500;532500;617500;785000;853000;957500;906000;811000;836000;1027500;955000;1280000.0;-7.0;99.0;7.1
SUNBURY;350000;355000;360000;370000;395000;492000;546000;533500;570000;646500;670000;637500.0;4.0;91.0;6.7
SUNDERLAND BAY;265000;324500;333000;287000;360000;357500;455000;413500;525000;717000;677500;642500.0;-6.0;156.0;9.8
SUNNYCLIFFS;194000;195000;247500;150000;220000;228000;218000;229500;230000;326500;291000;382500.0;-11.0;50.0;4.1
SUNSET STRIP;286500;301500;310000;301500;340000;345000;390000;460000;511000;602500;754000;737000.0;25.0;163.0;10.2
SUNSHINE;400000;435000;483500;530500;675000;765000;742000;720000;750000;870000;855000;695000.0;-2.0;114.0;7.9
SUNSHINE NORTH;395000;400000;425500;495000;560000;653000;673500;647000;690000;720000;750000;730000.0;4.0;90.0;6.6
SUNSHINE WEST;375000;384500;395000;450000;520000;639000;635000;635000;657000;745000;751500;638000.0;1.0;100.0;7.2
SURF BEACH;350000;375000;360000;355000;414000;425000;480000;525000;559000;706500;890000;799000.0;26.0;154.0;9.8
SURREY HILLS;1121500;1323000;1450000;1750000;1800500;2170000;1900000;1890000;1880000;2310000;2320000;2270000.0;0.0;107.0;7.5
SWAN HILL;225000;225000;230000;248000;262500;252000;267000;285000;319500;362000;405000;412000.0;12.0;80.0;6.1
SWAN REACH;334000;230000;276000;331000;455000;350000;370000;450000;430000;562000;690500;653000.0;23.0;107.0;7.5
SYDENHAM;415000;425000;415000;440000;505000;590000;620000;595000;635000;693500;707500;700000.0;2.0;70.0;5.5
SYNDAL;778000;950500;1160000;1505000;1410000;1585000;1530000;1499000;1570000;1787500;1867500;1400000.0;4.0;140.0;9.2
TALLANGATTA;185000;154000;200000;233000;216000;275000;245000;257500;280000;350000;436000;401500.0;25.0;136.0;9.0
TANGAMBALANGA;177500;265000;245000;219500;276000;172500;292000;282500;459000;502500;576000;416000.0;15.0;225.0;12.5
TARNEIT;356000;371000;395000;400000;445000;515000;570000;550000;570000;602500;650000;651000.0;8.0;83.0;6.2
TATURA;229500;230000;237500;233000;228000;262000;250000;276500;303500;357500;450000;460000.0;26.0;96.0;7.0
TAWONGA;231000;310000;375000;235000;275000;265000;354000;460000;425000;459000;620000;N/A;35.0;168.0;10.4
TAWONGA SOUTH;255000;219500;235000;257500;298000;254000;310000;422500;380000;545000;641000;640000.0;18.0;151.0;9.7
TAYLORS HILL;480000;487500;510000;530000;600000;686000;723000;702000;754000;840000;908000;897500.0;8.0;89.0;6.6
TAYLORS LAKES;477500;490000;510000;561500;635000;720000;763500;750000;777500;883500;935000;820000.0;6.0;96.0;7.0
TECOMA;412000;415000;478000;510000;601500;709000;700000;662500;742500;920000;837500;737500.0;-9.0;103.0;7.4
TEMPLESTOWE;811000;865000;951500;1180000;1260000;1415000;1308000;1292500;1381500;1603000;1621500;1450000.0;1.0;100.0;7.2
TEMPLESTOWE LOWER;670000;750000;830000;1060000;1105500;1302000;1150000;1080000;1189000;1430000;1390000;1580000.0;-3.0;107.0;7.6
TERANG;155000;161500;195000;206500;150000;188500;194000;188500;232500;309000;365000;401500.0;18.0;135.0;8.9
THE BASIN;410000;430000;463500;550000;595000;610000;682500;695000;739000;875000;853000;857000.0;-3.0;108.0;7.6
THE HONEYSUCKLES;215000;214000;190000;160000;237000;265000;290000;336000;315000;477500;485000;592500.0;2.0;126.0;8.5
THE PATCH;417500;393500;486500;505000;570500;665000;730000;755000;760000;882500;872000;N/A;-1.0;109.0;7.6
THOMASTOWN;365000;390000;420000;437000;493000;654000;636000;592000;620000;720000;710000;680000.0;-1.0;95.0;6.9
THOMSON (GREATER GEELONG);273500;282000;290000;290000;308500;365000;411000;400500;435000;585000;575000;552000.0;-2.0;110.0;7.7
THORNBURY;715500;729000;840000;918000;1079500;1225000;1137500;1150000;1250000;1500000;1455000;1250000.0;-3.0;103.0;7.4
THORNHILL PARK;N/A;N/A;N/A;N/A;441000;447000;578000;535000;540000;565000;600000;632500.0;6.0;N/A;N/A
TIMBOON;212500;184000;210000;240000;215000;220000;247000;260000;412500;425000;440000;558000.0;4.0;107.0;7.5
TONGALA;175000;185000;179000;165000;204000;200000;275000;234500;236500;305000;377000;440000.0;24.0;115.0;8.0
TOONGABBIE;212500;234000;261500;235000;315000;286500;280500;270000;320000;445000;525000;557500.0;18.0;147.0;9.5
TOORA;210000;171500;155000;230000;195000;190000;241500;275000;300000;430000;430000;460000.0;0.0;105.0;7.4
TOORADIN;380000;420000;480000;471000;411000;599000;702000;700000;755000;800000;910000;810000.0;14.0;139.0;9.1
TOORAK;2775000;2875000;3391000;3987500;4900000;5100000;4700000;4550000;5500000;6320000;6200000;3930000.0;-2.0;123.0;8.4
TOOTGAROOK;390000;387000;402500;405000;460000;591000;600500;586000;671000;874000;950000;825000.0;9.0;144.0;9.3
TORQUAY;565000;580000;580000;620000;665000;720000;810000;815000;870000;1200000;1340000;1300000.0;12.0;137.0;9.0
TRAFALGAR;285000;283000;311000;310000;312500;333500;375000;396500;435000;485000;590000;455000.0;22.0;107.0;7.5
TRARALGON;260000;269000;275000;273000;268000;288500;298000;326500;340000;408000;484000;449000.0;19.0;86.0;6.4
TRARALGON EAST;402500;435000;440000;432500;445000;455000;425000;470000;501500;640000;722000;785000.0;13.0;79.0;6.0
TRAVANCORE;810000;905000;848000;1100000;1305000;1415000;1475000;1125000;1617500;1800000;1455000;900000.0;-19.0;80.0;6.0
TRENTHAM;331500;407500;340000;422500;455000;475000;603000;614000;632500;825000;1037500;640000.0;26.0;213.0;12.1
TRUGANIN/A;341500;360000;390000;391000;430000;519500;570000;575000;580000;616000;657500;625000.0;7.0;93.0;6.8
TULLAMARINE;393500;395000;412000;472500;530000;655000;665500;612000;640000;757500;760000;730000.0;0.0;93.0;6.8
TYABB;372500;370500;366000;395000;430000;510500;548000;586500;590000;736000;785000;745000.0;7.0;111.0;7.7
UNDERBOOL;28000;85000;75000;25000;62500;60000;62500;39000;62000;99000;N/A;N/A;N/A;257.0;15.2
UPPER FERNTREE GULLY;410000;435000;500000;515000;582000;685000;700000;642500;735000;865000;885000;723000.0;2.0;116.0;8.0
UPWEY;422500;425000;476000;515000;585000;680000;710000;702500;760500;899000;890000;810000.0;-1.0;111.0;7.7
VENTNOR;363500;370000;377500;423500;420000;465000;490000;540000;619500;770000;867500;865000.0;13.0;139.0;9.1
VENUS BAY;238500;242500;237000;236000;258000;262500;305000;330000;375000;579500;675000;590000.0;16.0;183.0;11.0
VERMONT;571000;610000;725000;855000;900000;1065000;980000;935500;1000000;1226500;1200000;1200000.0;-2.0;110.0;7.7
VERMONT SOUTH;654500;722500;815000;1000000;1082500;1200500;1150000;1165000;1200000;1420000;1419000;1525000.0;0.0;117.0;8.0
VIEWBANK;589000;630000;725000;829500;920000;1000000;933000;920000;985000;1238000;1220000;1083000.0;-1.0;107.0;7.6
VIOLET TOWN;204500;215000;199500;200000;238500;217000;242500;287500;328500;381500;385000;530000.0;1.0;88.0;6.5
WAHGUNYAH;244000;190000;213500;267000;290000;270000;240000;355000;320000;387000;530000;625000.0;37.0;117.0;8.1
WALKERVILLE;280000;279000;230000;246000;283500;275000;266500;334500;350000;461000;559000;863500.0;21.0;100.0;7.2
WALLAN;335000;341500;356000;362000;375000;425000;490000;480000;520000;580000;630000;600000.0;9.0;88.0;6.5
WALLAN EAST;317000;310000;306500;309500;352500;410000;500000;452500;492500;576000;610000;563500.0;6.0;92.0;6.8
WANDAN/A HEIGHTS;557500;540000;582000;590000;592500;645000;700000;766500;827000;925000;1135000;932500.0;23.0;104.0;7.4
WANDIN NORTH;379000;407500;439500;480000;496500;665000;665000;630000;715000;765000;805000;850000.0;5.0;112.0;7.8
WANDONG;335000;397500;332000;297500;400000;492500;494000;452500;640000;700000;719000;775000.0;3.0;115.0;7.9
WANGARATTA;240000;240000;255000;272000;270500;270000;320000;319000;356500;425000;530000;460000.0;25.0;121.0;8.2
WANTIRN/A;515000;576000;667500;764000;801000;953000;906500;850000;907000;1065000;1102500;1053000.0;4.0;114.0;7.9
WANTIRN/A SOUTH;542500;579000;676500;829000;875000;1005000;1000000;988500;1015000;1223500;1225000;1210000.0;0.0;126.0;8.5
WARBURTON;300000;310000;315000;325000;366000;418000;495000;512500;543000;675000;733500;742500.0;9.0;144.0;9.3
WARNEET;284000;337000;355000;395000;390000;485000;534000;512500;600000;666000;719000;651000.0;8.0;153.0;9.7
WARRACKN/ABEAL;105000;107500;110000;110000;123500;113000;112500;118000;141000;180000;228500;235000.0;27.0;117.0;8.1
WARRAGUL;300000;315000;320000;342000;340000;365000;449000;460000;498000;581000;652000;616500.0;12.0;117.0;8.1
WARRANDYTE;620000;640000;760000;829000;890000;1042500;1110000;994000;996000;1285000;1300000;1380000.0;1.0;110.0;7.7
WARRANWOOD;654000;603000;665000;790000;865000;943500;1010000;935000;957000;1145000;1345000;1152500.0;17.0;106.0;7.5
WARRN/AMBOOL;316500;325000;323000;330000;320000;330000;350000;370000;415000;520000;602000;595000.0;16.0;90.0;6.6
WATERWAYS;682000;667000;845000;902000;1050000;1127500;1110000;1270000;1408000;1445000;1475000;1275000.0;2.0;116.0;8.0
WATSONIA;462000;505000;555000;607500;698000;835000;795000;736000;790000;980000;908500;751000.0;-7.0;97.0;7.0
WATSONIA NORTH;462000;510000;572500;635000;702500;790000;770000;726500;795000;962500;897500;872000.0;-7.0;94.0;6.9
WATTLE GLEN;527000;475000;500500;569000;580000;620000;810000;778500;810000;924000;950000;N/A;3.0;80.0;6.1
WAURN PONDS;452500;446500;470000;480000;501000;530000;621500;641500;671000;727500;801500;752000.0;10.0;77.0;5.9
WEDDERBURN;122500;154000;137500;110000;150000;155000;130000;138500;150000;179000;310000;357500.0;73.0;153.0;9.7
WEIR VIEWS;407000;327500;388000;389000;418000;440000;470000;465000;495500;530000;579000;576000.0;9.0;42.0;3.6
WELSHPOOL;190000;166000;193000;272500;180000;230000;259000;300000;242500;380000;425000;N/A;12.0;124.0;8.4
WENDOUREE;236500;243000;247000;250000;252500;267500;326000;335000;370000;465000;497500;470000.0;7.0;111.0;7.7
WENDOUREE WEST;167500;190000;165000;207500;185000;200000;245000;259000;300000;380000;390000;365000.0;3.0;133.0;8.8
WERRIBEE;300000;309000;315000;335000;403000;470000;510000;500000;516000;570000;614000;587000.0;8.0;105.0;7.4
WERRIBEE SOUTH;440000;538000;585000;680000;540000;650000;735000;744500;650000;822500;855000;856000.0;4.0;94.0;6.9
WESBURN;290000;312500;288500;395000;455000;455000;463500;530000;532000;665000;661000;707500.0;-1.0;128.0;8.6
WEST BENDIGO;205000;259000;355000;293500;270000;215000;269500;241500;363500;575000;565000;370000.0;-2.0;176.0;10.7
WEST FOOTSCRAY;532500;553000;637500;697000;798000;887500;875000;785000;835000;1050000;960500;915000.0;-9.0;80.0;6.1
WEST MELBOURNE;720000;905000;916000;1005000;1104500;1350000;1370000;1017500;1215000;1290000;1387500;1055000.0;8.0;93.0;6.8
WEST WODONGA;267500;272500;296000;306000;308500;321000;322000;342500;370000;428000;515000;549000.0;20.0;93.0;6.8
WESTALL;479000;513500;550000;610000;696000;780000;800000;744500;739000;855000;891500;842500.0;4.0;86.0;6.4
WESTGARTH;840000;920000;1100000;1300000;1500000;1383000;1707500;1492500;1566000;2075000;1912500;1900000.0;-8.0;128.0;8.6
WESTMEADOWS;377500;386500;419000;470000;500000;566000;620000;620000;605000;716000;694000;670000.0;-3.0;84.0;6.3
WHEELERS HILL;669000;740000;805000;999000;1050000;1160000;1118500;1010000;1173500;1371000;1440000;1524000.0;5.0;115.0;8.0
WHITE HILLS;275000;280000;306000;297500;305000;300000;313500;330000;355000;470000;510000;460000.0;9.0;85.0;6.4
WHITTINGTON;252000;259000;262000;280000;265000;316500;395000;377500;408000;485000;532500;535000.0;10.0;111.0;7.8
WHITTLESEA;365000;375000;375000;400000;448500;469500;577500;581000;610000;675000;740000;712500.0;10.0;103.0;7.3
WILLIAMS LANDING;450000;470000;450000;510000;530000;600000;685000;657000;680000;760000;795000;812500.0;5.0;77.0;5.9
WILLIAMSTOWN;901000;920000;970000;1120000;1282500;1440000;1415000;1350000;1402500;1638500;1662500;1390000.0;1.0;85.0;6.3
WILLIAMSTOWN NORTH;680000;768000;803500;862500;1135500;1003000;880000;965000;905000;1250000;1021500;N/A;-18.0;50.0;4.2
WILLOW GROVE;230000;235000;172500;135000;195000;230000;280000;388000;427500;427500;452500;N/A;6.0;97.0;7.0
WIMBLEDON HEIGHTS;290000;271500;310000;291500;299000;334000;410000;386500;435000;592000;670000;620000.0;13.0;131.0;8.7
WINCHELSEA;268500;287000;287500;262000;267000;357000;391000;430000;480000;552500;640000;560000.0;16.0;138.0;9.1
WINDSOR;818000;835000;956500;1094000;1505000;1420000;1422500;1350000;1350000;1645000;1650000;1399000.0;0.0;102.0;7.3
WINTER VALLEY;353500;344500;360000;365000;362500;375000;405000;435000;470000;573500;624000;582500.0;9.0;77.0;5.8
WODONGA;255500;282500;295000;295000;315000;341500;350000;331500;348000;439500;520000;497500.0;18.0;104.0;7.4
WOLLERT;410000;400000;395000;432000;460000;520000;538000;570000;575000;630000;710000;661000.0;13.0;73.0;5.6
WONGA PARK;622500;674500;673500;735000;801000;962500;1150000;1102000;1077500;1248000;1415000;1140000.0;13.0;127.0;8.6
WONTHAGGI;229000;225000;251000;262000;265000;289000;339000;375000;405000;550000;610000;577500.0;11.0;167.0;10.3
WOODEND;430000;470000;460000;482500;460000;560000;665000;747500;765000;895000;875000;865000.0;-2.0;103.0;7.4
WOOLAMAI WATERS;350000;349000;381500;340000;375000;418000;469500;495500;560000;762500;870000;750500.0;14.0;149.0;9.5
WOORI YALLOCK;315000;330000;317000;358000;391500;480000;520000;510000;552000;635000;670000;622500.0;6.0;113.0;7.8
WURRUK;235000;285000;222000;230000;259500;235000;310000;210000;267000;352500;430000;405000.0;22.0;83.0;6.2
WY YUNG;325000;285000;285000;290000;333500;328000;315000;349000;370000;453000;492500;431500.0;9.0;52.0;4.2
WYCHEPROOF;96500;95000;103000;100000;82500;100000;124500;141500;131000;170000;185000;218000.0;9.0;92.0;6.8
WYNDHAM VALE;286500;288000;306000;325000;365000;435500;474000;460500;480000;530000;580000;555000.0;9.0;102.0;7.3
YACKANDANDAH;272500;327500;318000;300000;392500;445500;472500;497500;490000;669000;670000;635000.0;0.0;146.0;9.4
YALLAMBIE;471000;532500;580000;665000;713500;781000;810000;792500;832500;990000;1023000;925500.0;3.0;117.0;8.1
YALLOURN NORTH;161000;135000;149500;153000;165500;180000;172000;191000;206000;263000;325000;347500.0;24.0;102.0;7.3
YARRA GLEN;395000;420000;460000;530000;540000;620000;670000;670000;732500;850500;795000;781500.0;-7.0;101.0;7.2
YARRA JUNCTION;397000;406500;357500;417500;422500;535000;562500;582500;595000;687000;710000;693000.0;3.0;79.0;6.0
YARRAGON;266000;258000;297000;284000;300000;280000;390000;410000;414000;582500;595000;697500.0;2.0;124.0;8.4
YARRAM;215000;190000;202500;245000;230000;225000;218000;240000;260000;360000;462500;387500.0;28.0;115.0;8.0
YARRAVILLE;613000;696000;710000;810000;900500;1000000;1045000;971000;1033000;1195000;1205000;1070000.0;1.0;97.0;7.0
YARRAWONGA;300000;302500;297000;300500;320000;324500;345000;375000;456500;565000;665000;591000.0;18.0;122.0;8.3
YEA;255000;260000;255000;260000;305000;385000;390000;435500;422500;570000;617500;420000.0;8.0;142.0;9.2
YINN/AR;221500;220000;240000;182500;230000;270000;245000;255000;292500;465000;550500;587500.0;18.0;148.0;9.5
